Community_Area,total_population,median_income,poverty,unemployment,bachelors,graduate,white,black,hispanic,broadband,owner_occupied,renter_occupied,snap
Englewood,1.7977058310334446,-0.9295110316368772,1.7978192198623901,1.7976745777391567,1.7980576987294123,1.7977922675515012,1.798828136037273,1.7991804331617922,1.7945404042788569,1.7982595170471258,1.7976718363394977,1.7983018572771532,1.7978810571016566
West_Englewood,1.6059505203702324,-1.2031366476815835,1.60811302903574,1.6090459106234665,1.6091341304367601,1.6092213942894673,1.609515258033149,1.6083211017850554,1.606402471231832,1.6085407289886875,1.6091626840787536,1.6082010178797899,1.6087661647281064
Irving_Park,-0.6520841586673961,0.6760689055436004,-0.6503672963083023,-0.6501407202464572,-0.6514305240885963,-0.6508447119028442,-0.6536117493701675,-0.6502716979153346,-0.64840992973327,-0.6517751878591581,-0.6509268542684997,-0.6511105704761705,-0.6500935127829888
JeffersonPark,-0.8678793355242733,0.6676937548573716,-0.8692055989127467,-0.8692515009612182,-0.8703773515996561,-0.8701525990283029,-0.8690195884017226,-0.8690370236434052,-0.8691106990925934,-0.8701248799852941,-0.8683982857242035,-0.870889252360535,-0.8691074225221805
Lakeview,-0.7891795833702232,0.675728274049579,-0.784682276065402,-0.7842975404425255,-0.7840685282082955,-0.7841057058203939,-0.7851837859519563,-0.7838920204204876,-0.787640326376778,-0.7849199342453456,-0.7855662962306602,-0.7838977008523608,-0.7843877260802266
LincolnPark,-0.7122771338646444,0.6838793912182821,-0.7099489627162706,-0.7097223949148609,-0.7091376294809553,-0.7091544439192351,-0.7082375688595153,-0.7094381364181174,-0.7132161299512007,-0.7101209581516382,-0.7103091166704083,-0.7097318761536766,-0.7098535720948153
NearNorthSide,-0.5202575832405545,-1.9701405787209947,-0.5238257151680081,-0.524121321492934,-0.5207362708878917,-0.5220214096916164,-0.5194092351028607,-0.523360403245481,-0.5272561048642483,-0.5191173787350917,-0.5225324117378088,-0.520331262153803,-0.5241489515275876
Portage_Park,-0.4789000090633215,0.6817028974032161,-0.4818793308019614,-0.4818450713640642,-0.4828440855507264,-0.4826343323486183,-0.48201156326285727,-0.48266211423884053,-0.478011916902155,-0.4825105479996778,-0.48130908970930536,-0.4830245311471037,-0.481823350804948
South_Lawndale,0.6169214523267362,0.717715034967406,0.6139769310745621,0.612658061059438,0.611402560649948,0.6118995408700435,0.6091300968786552,0.6111598609348187,0.6227022314095553,0.6117686409403925,0.6122075339226344,0.6124823179867072,0.6127673139829848
