resolution,neighborhood,community_id
0.5,Englewood,0
0.5,West_Englewood,0
0.5,JeffersonPark,1
0.5,South_Lawndale,1
0.5,Portage_Park,1
0.5,Irving_Park,1
0.5,LincolnPark,2
0.5,Lakeview,2
0.5,NearNorthSide,2
1.0,Englewood,0
1.0,West_Englewood,0
1.0,JeffersonPark,1
1.0,South_Lawndale,1
1.0,Portage_Park,1
1.0,Irving_Park,1
1.0,LincolnPark,2
1.0,Lakeview,2
1.0,NearNorthSide,2
1.5,Englewood,0
1.5,West_Englewood,0
1.5,JeffersonPark,1
1.5,South_Lawndale,1
1.5,Portage_Park,1
1.5,Irving_Park,1
1.5,LincolnPark,2
1.5,Lakeview,2
1.5,NearNorthSide,2
